manufacturer,name,cr,state
Renault,R5 Turbo '80,154200,normal
Alfa Romeo,MiTo '09,25600,normal
Volkswagen,Volkswagen 1200 '66,32700,normal
BMW,3.0 CSL '73,206500,normal
Alpine,A110 '72,140000,normal
De Tomaso,Pantera '71,165000,soldout
Mitsubishi,Lancer Evolution VI GSR T.M. SCP '99,162400,normal
Mini,Mini Cooper S '05,23900,limited
Volkswagen,Scirocco R '10,39400,normal
Porsche,911 Turbo (930) '81,215500,normal
AMG,SLS AMG '10,316900,normal
Porsche,911 GT3 (997) '09,142400,normal
Nissan,Fairlady Z (Z34) '08,39100,normal
Honda,NSX Type R '92,398200,limited
Lamborghini,Countach 25th Anniversary '88,713300,normal
