id,cr,state
173,154500,normal
3438,51900,normal
1933,24400,normal
821,51800,normal
829,104800,soldout
201,27000,limited
919,29600,normal
3422,203800,limited
1796,131000,limited
1778,35100,limited
334,75700,limited
374,61100,limited
959,41600,limited
3453,83000,limited
379,57100,normal
1027,442600,limited
451,171600,limited
1542,51600,soldout
207,62700,limited
24,58300,normal
1399,80700,soldout
1378,202000,normal
3389,62100,normal
1373,106600,normal
1722,185000,limited
3431,225100,limited
1384,26900,soldout
3439,215600,normal
205,222700,normal
187,69200,limited
