id,cr,state,daysremaining
931,100000,new,-1
137,15900,normal,9
1461,48200,normal,8
48,106400,normal,6
1778,31900,normal,10
3422,203800,normal,5
201,30700,normal,8
3454,136700,limited,2
821,55600,normal,5
1973,23300,new,7
1527,13800,normal,6
1027,427500,limited,3
843,105500,limited,2
334,86100,normal,7
959,44200,new,10
773,179900,limited,2
374,60200,normal,7
3453,83100,new,9
1508,178300,normal,4
1729,37500,soldout,1
203,61400,soldout,1
1990,817800,normal,5
942,86500,normal,8
1480,104900,new,8
396,430000,new,10
3389,61900,limited,2
345,105900,normal,8
1365,137800,new,7
1578,314100,normal,4
489,156200,new,10
205,221200,limited,3
