manufacturer,name,cr,state
Mini,Mini Cooper S '05,23500,normal
Honda,Integra Type R (DC2) '98,62500,normal
Mazda,RX-7 GT-X (FC) '90,56500,normal
BMW,M3 Sport Evolution '89,178950,normal
Porsche,911 Carrera RS (964) '92,221000,normal
Subaru,Impreza Coupe WRX Type R STi Ver.VI '99,61500,normal
Nissan,Fairlady Z Version S (Z33) '07,29500,normal
Mitsubishi,Lancer Evolution V GSR '98,76600,normal
Dodge,Super Bee '70,66300,normal
Nissan,R34 GT-R V-spec II Nur '02,393200,normal
Alfa Romeo,8C Competizione '08,300100,normal
Porsche,911 GT3 (997) '09,141700,normal
Lamborghini,Countach 25th Anniversary '88,697800,normal
Lamborghini,Diablo GT '00,847500,normal
Lamborghini,Murcielago LP 640 '09,341000,normal
