ID,ShortName,Maker
24,180SX Type X '96,28
31,Camaro Z28 '69,7
41,Corvette Stingray (C3) '69,7
48,Fairlady 240ZG (HS30) '71,28
63,Corolla Levin 1600GT APEX (AE86) '83,43
82,Supra RZ '97,43
104,Sileighty '98,28
105,205 Turbo 16 Evolution 2 '86,32
135,S800 '66,15
137,Beat '91,15
145,Copen '02,10
173,R5 Turbo '80,34
187,Tuscan Speed 6 '00,44
201,Eunos Roadster (NA) '89,21
203,Integra Type R (DC2) '98,15
204,Civic Type R (EK) '98,15
205,RX-7 Spirit R Type A (FD) '02,21
207,MR2 GT-S '97,43
210,R34 GT-R V-spec II Nur '02,28
211,Lancer Evolution V GSR '98,25
216,McLaren F1 GTR Race Car '97,6
293,NSX Type R '92,15
296,787B '91,21
301,Lancer Evolution IV GSR '96,25
315,Cobra 427 '66,36
334,Clio V6 24V '00,34
345,Sprinter Trueno 1600GT APEX (S.Shigeno Version),43
365,155 2.5 V6 TI '93,3
374,RX-7 GT-X (FC) '90,21
379,Impreza Coupe WRX Type R STi Ver.VI '99,38
387,300 SL Coupe '54,22
396,NSX Type R '02,15
451,Impreza 22B-STi '98,38
485,GT-R GT500 '99,28
489,R33 GT-R V-spec '97,28
514,S2000 '99,15
533,Stratos '73,18
604,2000GT '67,43
665,Superbird '70,55
688,Integra Type R (DC2) '95,15
709,Fairlady Z 300ZX TT 2seater '89,28
773,R32 GT-R V-spec II '94,28
810,Sprinter Trueno 1600GT APEX (AE86) '83,43
818,Corvette (C2) '63,7
821,Civic Type R (EK) '97,15
829,Delta HF Integrale Evoluzione '91,18
837,Skyline Hard Top 2000GT-R (KPGC10) '70,28
843,Supra 3.0GT Turbo A '88,43
919,Silvia Q's (S13) '88,28
942,Corvette ZR-1 (C4) '89,7
954,R92CP '92,28
959,TT Coupe 3.2 quattro '03,5
998,Sauber Mercedes C9 '89,22
1027,DeLorean S2 '04,65
1040,Ford GT LM Race Car Spec II,13
1044,Sports 800 '65,43
1067,XJR-9 '88,17
1069,2J '70,93
1365,R8 4.2 '07,5
1370,MINI Cooper S '05,51
1373,Viper GTS '02,11
1378,F430 '06,110
1384,Fairlady Z Version S (Z33) '07,28
1385,Swift Sport '07,39
1399,M3 '07,6
1402,Viper SRT10 Coupe '06,11
1409,F40 '92,110
1410,512 BB '76,110
1425,Ford GT LM Spec II Test Car,13
1426,Ford GT '06,13
1431,RE Amemiya FD3S RX-7,87
