NewCar,OriginalCar,EngineName
2051,3411,690T-Giulia
2173,3411,690T-Giulia
575,3531,M159-AMG-GT3-'20
3403,1927,R5-20vT-Quattro-Pikes
2169,1365,BYH-R8
207,1365,BYH-R8
3389,1902,P65B44-Z4
3422,1902,P65B44-Z4
1399,1902,P65B44-Z4
2074,1902,P65B44-Z4
3412,3473,8.0-WR16-64v4T-Chiron
1480,3473,8.0-WR16-64v4T-Chiron
3486,3473,8.0-WR16-64v4T-Chiron
1956,3473,8.0-WR16-64v4T-Chiron
2171,3473,8.0-WR16-64v4T-Chiron
2139,3473,8.0-WR16-64v4T-Chiron
3345,3473,8.0-WR16-64v4T-Chiron
3553,3473,8.0-WR16-64v4T-Chiron
31,3387,LT4-Camaro
187,3387,LT4-Camaro
1985,1480,LS9-Corvette
2148,1916,LT1-Corvette
3464,3449,LT5-Corvette-C7
818,3449,LT5-Corvette-C7
1542,3449,LT5-Corvette-C7
41,3449,LT5-Corvette-C7
78,3449,LT5-Corvette-C7
3513,3449,LT5-Corvette-C7
3413,3449,LT5-Corvette-C7
3295,3449,LT5-Corvette-C7
942,3449,LT5-Corvette-C7
3538,3486,Demon-Challenger
3384,3486,Demon-Challenger
1543,2152,Hellcat-Charger
665,2152,Hellcat-Charger
3430,2152,Hellcat-Charger
2136,1504,F136F-458
1409,1474,F140B-Enzo
3420,1425,V8-Ford-GT-LM-Test
3341,2138,Coyote-5.0L-Mustang
1729,2138,Coyote-5.0L-Mustang
3444,3391,Voodoo-5.2L-GT350R
3487,3391,Voodoo-5.2L-GT350R
1925,3391,Voodoo-5.2L-GT350R
1689,3526,K24A-Civic
3530,3526,K24A-Civic
3442,3526,K24A-Civic
821,3526,K24A-Civic
688,3526,K24A-Civic
514,3526,K24A-Civic
1370,3526,K24A-Civic
104,3526,K24A-Civic
2154,3526,K24A-Civic
3559,3526,K24A-Civic
3336,3522,Windsor-351-Maverick
3300,3522,Windsor-351-Maverick
3391,3522,Windsor-351-Maverick
3488,3522,Windsor-351-Maverick
3357,2156,SE75E-2&4
135,2156,SE75E-2&4
3438,3467,K20C1-Civic-'20
204,3467,K20C1-Civic-'20
203,3467,K20C1-Civic-'20
3356,3467,K20C1-Civic-'20
137,3467,K20C1-Civic-'20
37,203,B18C-Integra-'98
3563,203,B18C-Integra-'98
1433,3348,HR-414E-NSX
3526,3348,HR-414E-NSX
293,3348,HR-414E-NSX
396,3348,HR-414E-NSX
3339,3348,HR-414E-NSX
543,1067,V12-XJR-9
1481,3392,L539-Aventador-SV
3222,1516,3UZ-FE-SC430
3401,1516,3UZ-FE-SC430
3368,1516,3UZ-FE-SC430
3494,1562,1LR-GUE-LFA
3418,1562,1LR-GUE-LFA
3306,296,R26B-787B
3512,296,R26B-787B
1746,296,R26B-787B
205,296,R26B-787B
3427,296,R26B-787B
374,296,R26B-787B
3521,296,R26B-787B
773,954,VRH35Z-R92CP
489,954,VRH35Z-R92CP
210,954,VRH35Z-R92CP
201,205,13B-REW-RX-7
779,205,13B-REW-RX-7
3337,3345,VR38DETT-GT-R-NISMO
829,3345,VR38DETT-GT-R-NISMO
3301,3345,VR38DETT-GT-R-NISMO
24,3345,VR38DETT-GT-R-NISMO
709,3345,VR38DETT-GT-R-NISMO
3524,3345,VR38DETT-GT-R-NISMO
3477,3345,VR38DETT-GT-R-NISMO
3504,3345,VR38DETT-GT-R-NISMO
3520,3345,VR38DETT-GT-R-NISMO
3262,3345,VR38DETT-GT-R-NISMO
