id,cr,state
779,18800,normal
3356,36200,limited
48,107900,normal
1523,16000,limited
810,46800,limited
204,52800,normal
1044,45100,normal
3454,143500,normal
1385,12000,limited
145,13500,limited
1895,352300,limited
3471,73800,normal
514,106400,limited
709,52400,limited
533,487300,limited
688,58600,normal
3443,166800,normal
1508,179700,normal
3341,165000,soldout
3344,164600,normal
1481,692400,limited
3359,140100,normal
345,104300,soldout
489,160400,normal
1545,315500,normal
1528,499700,normal
1410,302500,normal
396,440200,normal
1480,107700,soldout
1365,143600,soldout
