id,cr,state,daysremaining
1985,83400,new,10
3438,51900,normal,7
1933,24400,normal,6
821,51800,normal,7
919,29600,normal,5
1778,35100,normal,5
173,154500,normal,5
63,58100,new,9
135,45800,normal,8
3442,31000,normal,7
959,51800,normal,9
1729,36100,limited,2
3453,76400,new,9
451,169000,new,9
41,55000,new,7
207,58900,new,8
374,57100,normal,6
203,62200,soldout,1
334,89600,normal,5
1027,450400,limited,3
1893,258300,normal,5
3358,155200,normal,5
210,389400,normal,5
1384,29900,new,8
1504,242500,normal,5
1539,146400,normal,7
3398,774000,normal,5
3434,396800,normal,7
3404,444900,normal,6
1399,70500,normal,7
